Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
01/09/2011,8.6,0.9,10.1,10.2,-24.3,15.9,185.4,0,8,10,No data,No data,No data,19,No data,No data,No data,No data,No data,19,14,No data,No data,8,16,No data,11,14,No data,10,14,No data,19,10,No data,5,10,12,No data,17,14,13,10,20,No data,18,8,16,12,No data,15,No data
02/09/2011,5,13.7,8,15.9,-0.6,15.9,239.7,15,11,6,No data,No data,No data,No data,No data,No data,No data,No data,No data,28,12,No data,No data,12,17,No data,22,23,No data,19,23,No data,16,12,No data,18,13,12,No data,28,12,16,30,18,No data,22,27,17,15,No data,9,No data
03/09/2011,4.1,10.6,6.8,12.6,7.2,13.1,237.4,15,8,0,No data,No data,No data,16,No data,No data,No data,No data,No data,14,6,No data,No data,9,14,No data,15,18,No data,18,19,No data,13,8,No data,19,11,12,15,16,8,16,18,13,No data,15,17,15,11,No data,4,16
04/09/2011,5.8,3.8,9.6,10.3,23.2,15.5,201.7,20,7,2,No data,No data,No data,7,No data,No data,No data,No data,No data,9,9,No data,No data,3,8,No data,7,11,No data,9,11,No data,8,7,No data,11,7,4,5,8,6,8,11,10,No data,7,9,10,11,No data,3,13
05/09/2011,6.9,16.2,-1.4,16.3,14,17.7,275,16,10,2,No data,No data,No data,7,No data,No data,No data,No data,No data,10,8,No data,No data,3,No data,No data,5,8,No data,7,8,No data,6,6,No data,4,3,4,8,9,3,No data,8,9,No data,8,5,7,8,No data,2,8
06/09/2011,2.3,27.5,1.1,27.5,66,43,267.6,20,4,1,No data,No data,No data,8,No data,No data,No data,No data,No data,9,7,No data,No data,4,No data,No data,6,8,No data,No data,9,No data,7,5,No data,5,4,5,7,8,5,No data,7,9,No data,8,7,7,8,No data,3,8
07/09/2011,3.2,24.6,-3.6,24.9,-6.8,25.1,278.3,16,3,1,No data,No data,No data,9,No data,No data,No data,No data,No data,11,7,No data,No data,3,No data,No data,5,8,No data,8,8,No data,8,5,No data,4,4,4,8,9,4,7,7,No data,No data,7,5,7,No data,No data,3,8
08/09/2011,3.1,14.5,-2.3,14.7,-4.6,14.9,279.2,16,4,1,No data,No data,No data,8,No data,No data,No data,No data,No data,8,6,No data,No data,4,7,No data,7,10,No data,7,10,No data,8,4,No data,6,4,4,7,8,5,8,8,No data,No data,7,7,8,No data,No data,3,7
09/09/2011,3.5,4.9,10.6,11.7,-5.1,12,204.8,15,7,1,No data,No data,No data,7,No data,No data,No data,No data,No data,8,9,No data,No data,3,14,No data,7,11,No data,8,10,No data,10,7,No data,8,8,4,8,7,6,6,8,No data,No data,7,6,11,11,No data,4,No data
10/09/2011,-1.4,5.9,23.1,23.8,36.9,30.1,194.4,24,11,2,No data,No data,No data,11,No data,No data,No data,No data,No data,9,8,No data,No data,6,12,No data,8,11,No data,10,10,No data,10,10,No data,10,8,6,9,10,6,10,9,No data,No data,9,8,11,14,No data,4,9
11/09/2011,-2.1,18.8,15.5,24.4,29.2,28.4,230.5,25,7,2,No data,No data,No data,8,No data,No data,No data,No data,No data,10,7,No data,No data,4,9,No data,6,10,No data,9,9,No data,7,6,No data,6,3,4,8,No data,7,7,10,No data,No data,8,9,8,11,No data,5,10
12/09/2011,-1.5,28.8,2.5,29,64.3,43.3,265.1,20,4,1,No data,No data,No data,11,No data,No data,No data,No data,No data,12,6,No data,No data,6,9,No data,7,9,No data,8,10,No data,9,6,No data,8,No data,7,9,10,7,8,11,No data,No data,9,9,11,10,No data,6,13
13/09/2011,5.4,26.1,-7,27,19.7,28.8,285.1,16,3,1,No data,No data,No data,9,No data,No data,No data,No data,No data,12,7,No data,No data,6,9,No data,7,9,No data,9,10,No data,7,6,No data,5,No data,6,8,10,7,9,10,No data,No data,8,8,8,9,No data,4,8
