Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
15/09/2014,19.5,-11.1,0.3,11.1,-9.5,12.1,91.3,12,15,9,16,20,10,No data,14,No data,No data,20,No data,No data,No data,10,14,22,16,15,20,No data,14,17,No data,No data,16,No data,13,14,16,12,16,22,16,13,13,18,18,19,No data,19,No data,15,12,12
16/09/2014,16.3,-8.9,4.3,9.9,-4.8,10.2,116,13,13,11,21,27,21,No data,30,No data,No data,27,No data,No data,No data,12,19,29,27,23,41,45,35,37,No data,No data,26,No data,25,32,22,23,24,31,27,30,38,31,31,29,No data,28,No data,29,27,19
17/09/2014,14.3,-12.8,4.6,13.6,1.3,13.7,109.6,12,16,13,27,26,18,No data,29,No data,No data,28,No data,No data,No data,14,23,29,28,29,44,47,38,42,No data,No data,26,No data,25,41,31,34,30,42,25,37,37,32,30,41,No data,29,No data,31,28,16
18/09/2014,12.8,-10.1,3.7,10.7,-0.9,10.8,109.9,12,19,15,28,34,31,No data,37,No data,No data,36,No data,No data,No data,20,30,37,34,32,44,50,40,40,No data,No data,37,No data,37,35,35,35,39,43,36,32,45,41,40,43,No data,41,No data,38,34,31
19/09/2014,14,-5.1,-1.6,5.3,1,5.4,72.9,-1,20,13,27,34,24,No data,26,No data,No data,37,No data,No data,No data,No data,27,40,33,32,44,41,34,35,No data,No data,36,No data,24,32,35,34,No data,37,35,37,41,39,38,37,No data,38,No data,No data,42,28
20/09/2014,18.4,-1.5,-10.7,10.8,-12.7,12.5,8,8,7,11,7,34,21,No data,26,No data,No data,30,No data,No data,No data,19,11,32,25,23,25,29,21,24,No data,No data,23,No data,30,15,23,29,No data,35,30,26,17,26,24,38,No data,24,No data,31,26,20
21/09/2014,20.4,-0.5,-3.6,3.6,-42.5,21.5,7.1,0,22,20,11,19,11,No data,18,No data,No data,No data,No data,No data,No data,14,15,19,18,16,11,13,7,11,No data,No data,16,No data,19,8,15,14,No data,21,14,9,6,21,17,18,No data,16,No data,19,12,21
22/09/2014,19.8,6.9,1.2,6.9,-30.5,16.8,260.3,0,29,14,16,28,18,No data,32,No data,No data,No data,No data,No data,No data,15,25,25,24,30,33,32,26,28,No data,No data,23,No data,26,31,30,22,24,No data,21,24,28,29,20,27,No data,27,No data,25,16,20
23/09/2014,15.6,11.4,2,11.6,-4.4,11.8,260,16,8,7,8,25,14,No data,30,No data,No data,No data,No data,No data,No data,5,25,31,27,32,40,43,35,37,No data,No data,27,No data,27,32,28,29,33,No data,28,32,36,33,23,41,No data,29,No data,No data,18,27
24/09/2014,12.2,9.6,-9.4,13.4,-10,14.3,314.7,17,5,4,10,13,3,No data,8,No data,No data,14,No data,No data,No data,3,10,18,7,16,22,23,17,20,No data,No data,8,No data,7,20,12,14,No data,15,3,15,18,13,5,20,No data,12,No data,No data,1,7
