Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool 03ton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London Harrow Stanmore,London N. Kensington,London Teddington Bushy Park,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
02/08/2010,16.6,6.2,-2.7,6.7,-8.5,8,294,7,5,No data,7,No data,No data,No data,No data,No data,No data,No data,No data,10,6,No data,4,13,9,No data,9,No data,11,9,11,No data,No data,No data,10,6,No data,9,5,7,5,8,6,8,No data,5,No data,No data,9,No data,3,11
03/08/2010,12.9,12.3,-2.3,12.5,-0.3,12.5,280.4,16,8,No data,8,No data,No data,No data,No data,No data,No data,No data,No data,9,6,No data,6,12,9,No data,11,No data,14,No data,12,No data,No data,No data,No data,8,No data,10,5,7,6,7,11,9,No data,6,No data,No data,8,No data,3,10
04/08/2010,10.1,9.6,-9.6,13.6,17.9,16.3,314.9,27,4,No data,6,No data,No data,No data,No data,No data,No data,No data,No data,6,7,No data,6,11,7,No data,7,No data,10,6,9,No data,No data,No data,8,6,No data,8,4,6,5,6,7,8,No data,5,No data,10,8,No data,2,9
05/08/2010,11.7,9.7,-4.9,10.9,2.6,10.9,296.7,17,4,No data,8,No data,No data,7,No data,No data,No data,No data,No data,7,7,No data,3,11,7,No data,6,No data,9,5,7,No data,No data,No data,10,6,No data,8,5,7,4,6,6,7,No data,6,No data,9,10,No data,3,7
06/08/2010,14,6.4,8,10.3,36.8,21.1,218.7,20,9,No data,8,No data,No data,7,No data,No data,No data,No data,No data,9,6,No data,7,12,12,No data,9,No data,11,9,10,No data,No data,No data,11,8,No data,10,5,8,6,7,8,8,No data,8,No data,10,10,No data,3,11
07/08/2010,18.3,4.8,-12,12.9,13.6,14.6,337.9,28,8,No data,6,No data,No data,5,No data,No data,No data,No data,No data,6,7,No data,5,10,9,No data,8,No data,12,8,9,No data,No data,No data,9,6,No data,8,3,7,5,7,7,8,No data,6,7,10,11,No data,3,9
08/08/2010,17.4,6.9,3.5,7.7,-7.7,8.6,243.2,5,5,No data,7,No data,No data,8,9,No data,No data,No data,No data,12,9,No data,4,17,10,No data,11,No data,14,12,13,No data,No data,No data,13,6,No data,12,5,9,8,10,9,11,No data,8,10,14,12,No data,4,12
09/08/2010,13.2,8.9,4.3,9.9,21.8,14.7,244.4,20,10,No data,6,No data,No data,7,7,No data,No data,No data,No data,11,7,No data,8,13,11,No data,11,No data,13,10,11,No data,No data,No data,11,10,No data,11,5,9,7,No data,12,9,No data,7,13,9,9,No data,3,11
10/08/2010,12.8,5.4,-3.6,6.5,37.3,19.8,303.5,20,6,No data,10,No data,No data,5,6,No data,No data,No data,No data,5,6,No data,No data,10,10,No data,5,No data,9,7,7,No data,No data,No data,9,6,No data,7,3,5,5,No data,4,8,No data,5,5,8,8,No data,3,11
11/08/2010,16.2,5.3,-13.9,14.9,18.6,17.5,338.9,28,5,No data,9,No data,No data,9,9,No data,No data,No data,No data,8,7,No data,No data,11,8,No data,9,No data,12,7,9,No data,No data,6,11,6,No data,8,No data,10,6,9,8,9,No data,No data,10,10,9,No data,4,9
12/08/2010,20.6,1.4,-15.4,15.5,5.6,15.8,355,18,6,No data,7,No data,No data,8,8,No data,No data,No data,No data,9,5,No data,No data,12,9,No data,8,9,11,8,9,No data,No data,5,11,8,No data,9,No data,7,5,8,6,8,No data,No data,9,12,9,No data,4,10
13/08/2010,21.6,0.3,-14.7,14.7,-1.1,14.7,358.8,18,4,No data,7,No data,No data,6,7,No data,No data,No data,No data,9,6,No data,3,No data,8,No data,10,11,12,9,10,No data,No data,5,11,6,No data,9,6,8,6,8,7,7,No data,No data,10,11,9,No data,4,10
