Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
19/02/2010,0.1,3.8,-8.3,9.1,35.8,20.1,335.3,20,No data,72,91,84,27,No data,57,32,No data,135,51,No data,69,102,59,65,No data,25,32,No data,63
20/02/2010,0.4,3.1,-1.6,3.5,29.7,15.3,296.8,20,No data,86,84,108,24,No data,57,35,No data,101,61,No data,80,126,80,73,No data,18,40,73,77
21/02/2010,-3.7,-1.1,1.2,1.6,38.5,19.3,135.6,20,No data,57,76,114,26,No data,39,35,No data,98,70,No data,76,No data,63,34,No data,39,19,45,53
22/02/2010,-6.9,-11,-3.7,11.6,20.5,15.5,71.6,22,No data,55,84,123,50,No data,28,29,No data,128,51,No data,69,No data,No data,42,No data,36,38,46,69
23/02/2010,-5,-12.3,8.6,15,11.6,16.1,124.8,13,No data,46,89,121,44,No data,40,42,No data,127,44,No data,69,109,No data,45,No data,35,38,50,64
24/02/2010,0.6,-14.4,4.3,15,56.2,31.9,106.5,20,No data,82,109,176,44,No data,48,47,No data,108,76,No data,81,143,34,37,No data,42,20,74,61
25/02/2010,-2.5,-15.4,-1.7,15.5,50.5,29.6,83.9,20,No data,77,108,104,34,No data,49,47,No data,111,53,No data,76,146,28,32,No data,42,18,55,59
26/02/2010,-2,-2.5,-8.7,9.1,45.6,24.5,16.3,20,No data,45,59,44,33,No data,55,20,No data,119,28,No data,51,123,29,36,No data,20,11,28,49
27/02/2010,-3.8,-6.9,5.4,8.8,16.9,12.2,127.6,23,No data,62,75,89,28,No data,47,35,No data,121,59,No data,69,133,40,24,No data,29,14,74,75
28/02/2010,-2.7,-3,-13.4,13.7,16.2,15.9,12.5,28,No data,27,38,59,25,No data,34,10,No data,102,27,No data,38,55,16,30,No data,17,19,23,43
01/12/2010,17.2,-15.5,-5.2,16.4,-7.5,16.8,71.4,12,No data,41,41,No data,52,15,26,18,No data,114,30,No data,42,36,16,23,No data,22,23,26,44
02/12/2010,13.5,-4.9,-6.1,7.8,-17.6,11.8,38.8,0,No data,56,55,No data,61,33,33,26,No data,134,43,No data,58,46,31,28,No data,31,33,28,61
03/12/2010,8.4,12.1,4,12.7,22,16.8,251.4,26,No data,86,121,No data,33,58,66,53,No data,121,71,No data,84,131,65,56,No data,35,37,70,79
04/12/2010,8.6,1.6,-7.7,7.9,40,21.5,347.9,20,No data,64,97,No data,47,39,58,51,No data,109,84,No data,77,143,49,56,No data,33,20,97,79
05/12/2010,3.2,4.4,-9.5,10.5,-12.6,12.2,335.1,7,No data,60,85,No data,43,67,47,33,No data,127,45,No data,52,65,44,54,No data,20,31,69,67
06/12/2010,1.9,0.5,-6.4,6.5,6.7,7.3,355.6,28,No data,118,150,No data,62,71,48,98,No data,118,68,No data,102,83,76,69,No data,51,70,103,89
07/12/2010,7.2,-2.8,-9.5,9.9,-2,10,16.7,18,No data,105,113,No data,73,88,65,93,No data,114,85,No data,92,88,81,80,No data,78,74,93,89
08/12/2010,15,-0.8,-17.6,17.6,-19.2,20.1,2.4,8,No data,87,80,No data,104,61,41,25,No data,142,50,No data,68,67,57,54,No data,36,57,53,57
09/12/2010,25,13.6,-10.4,17.2,-25.3,21.3,307.3,7,No data,94,104,No data,84,84,94,26,No data,182,54,No data,50,121,64,77,No data,21,53,100,78
10/12/2010,23.8,20,-13,23.8,-20.1,25.9,302.9,17,No data,73,49,No data,20,65,86,19,No data,76,58,No data,46,145,58,84,No data,9,45,67,75
11/12/2010,18.8,7.3,-13.4,15.2,-42.4,26.1,331.2,0,No data,36,47,No data,42,54,62,22,No data,86,29,No data,50,75,46,45,No data,26,39,37,82
12/12/2010,19.8,-5.9,2,6.3,-38.5,20.3,109,0,No data,59,93,No data,31,39,36,32,No data,118,51,No data,58,57,58,38,No data,28,44,72,53
13/12/2010,23.4,-3.1,0.5,3.2,-31.8,16.2,98.6,0,No data,77,80,No data,39,69,57,35,No data,177,54,No data,72,76,62,70,No data,41,47,81,50
14/12/2010,33.4,-3.3,-7.8,8.5,-25.9,15.5,22.9,0,No data,72,89,No data,46,50,32,37,No data,205,58,No data,75,66,49,65,No data,57,54,68,61
15/12/2010,31.8,9.4,-12.6,15.7,-33.3,22.9,323.3,0,No data,66,57,No data,44,63,47,16,No data,141,53,No data,74,79,55,56,No data,17,57,54,49
16/12/2010,13.9,6.9,-26.5,27.4,16.2,28.6,345.3,18,No data,51,49,67,42,38,58,16,No data,88,40,No data,38,100,40,46,No data,19,27,22,52
17/12/2010,2.3,11.8,-16.2,20.1,31.8,25.6,323.9,27,No data,76,80,74,44,78,76,37,No data,110,59,No data,65,120,74,82,No data,19,42,41,65
18/12/2010,1.3,-8.6,4.3,9.6,44.2,24.1,116.8,20,No data,63,78,94,53,56,40,55,No data,115,76,No data,79,113,44,60,No data,62,27,78,67
19/12/2010,0.8,-15.5,-1.7,15.6,25.8,20.3,83.8,22,No data,71,90,67,41,39,43,50,No data,99,52,No data,72,54,51,31,No data,44,40,57,65
20/12/2010,4.8,-3.8,-3.9,5.5,15,9.3,44.8,20,No data,87,134,100,49,62,55,66,No data,99,89,No data,100,113,64,63,No data,36,40,65,81
21/12/2010,6.9,-3,-1.5,3.4,7.4,5,63.5,20,No data,76,110,98,74,76,61,72,No data,113,66,No data,108,76,40,65,No data,47,59,77,88
22/12/2010,11.3,-8.7,-5.8,10.5,-5.2,10.8,56.2,11,No data,66,94,131,84,52,57,56,No data,175,53,No data,71,63,51,50,No data,64,56,55,72
23/12/2010,15.7,-7.8,-11.9,14.2,-22.5,18.1,33.5,1,No data,52,75,83,78,19,39,35,No data,169,40,No data,65,38,30,27,No data,48,31,38,68
24/12/2010,19.4,-0.6,-9.5,9.5,-24.9,15.7,3.6,0,No data,74,100,90,79,30,35,26,No data,144,33,No data,73,45,43,31,No data,40,39,64,46
