Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
09/11/2010,-6.5,-19.8,-12.7,23.5,13.6,24.5,57.3,11,No data,6,9,11,13,11,13,No data,No data,No data,23,No data,12,No data,12,9,No data,No data,10,No data,6,8,4,No data
10/11/2010,-4.1,10.1,-1.2,10.2,-16.8,13.2,276.9,6,No data,13,14,15,11,10,13,No data,No data,No data,20,No data,12,No data,16,15,No data,No data,9,No data,5,10,10,No data
11/11/2010,13.2,30,14.5,33.3,125.9,71.2,244.2,20,No data,6,11,9,9,9,15,No data,No data,No data,11,No data,10,No data,11,21,No data,No data,8,No data,5,8,6,No data
12/11/2010,10.1,21,-5.9,21.8,36.3,28.4,285.7,26,No data,7,13,13,9,9,18,No data,No data,No data,10,No data,11,No data,11,30,No data,No data,10,No data,3,7,6,No data
13/11/2010,-8.6,10.4,-0.3,10.5,27.3,17.2,271.7,20,No data,9,15,No data,11,8,18,12,No data,No data,16,No data,18,No data,15,24,No data,No data,12,No data,4,10,3,No data
14/11/2010,-1.4,-0.3,-5.7,5.7,30.9,16.4,3,20,No data,16,15,No data,9,14,20,13,No data,No data,21,No data,22,No data,16,22,No data,No data,16,No data,9,12,11,No data
15/11/2010,10.5,6.3,3.4,7.2,-12.6,9.6,241.6,5,No data,28,30,No data,15,23,20,24,No data,No data,27,No data,44,No data,30,45,No data,No data,30,No data,8,22,10,No data
16/11/2010,10.8,4.8,23.7,24.2,-16.1,25.5,191.6,14,No data,30,25,No data,14,13,22,32,No data,No data,30,No data,58,No data,37,53,No data,No data,31,No data,15,26,16,No data
17/11/2010,7.1,-7.1,34.9,35.6,48.4,43,168.5,24,No data,18,21,No data,19,17,15,23,No data,No data,23,No data,No data,No data,31,23,No data,No data,18,No data,15,11,7,No data
18/11/2010,8.4,-0.9,22.8,22.8,55,35.7,177.6,20,No data,18,25,No data,15,15,18,21,No data,No data,28,No data,24,No data,30,26,No data,No data,16,No data,19,9,8,No data
19/11/2010,12,-4.4,14.7,15.4,12.7,16.7,163.2,14,No data,20,27,No data,24,16,19,19,No data,No data,34,No data,No data,No data,28,38,No data,No data,22,No data,27,18,13,No data
20/11/2010,17.3,-10.7,0.6,10.7,1.8,10.8,93.3,12,No data,21,17,No data,18,19,21,19,No data,No data,30,No data,22,No data,26,22,No data,No data,21,No data,18,19,9,No data
21/11/2010,19.2,-11.6,-9.2,14.8,7.5,15.3,51.5,11,No data,8,8,No data,10,13,17,9,No data,No data,18,No data,14,No data,13,10,No data,No data,13,No data,5,17,9,No data
22/11/2010,16.2,-9.6,-7.5,12.2,2.5,12.2,52.1,11,No data,12,11,No data,17,14,22,11,No data,No data,25,No data,15,No data,15,12,No data,No data,15,No data,6,18,10,No data
23/11/2010,15.4,-3.2,-13.6,13.9,-3.4,14,13.3,18,No data,13,13,No data,18,9,16,7,No data,No data,26,No data,11,No data,12,10,No data,No data,11,No data,3,17,11,No data
24/11/2010,16.9,-4.4,-15.4,16.1,18.4,18.5,16.1,28,No data,18,24,No data,18,17,13,9,No data,No data,23,No data,16,No data,13,23,No data,No data,18,No data,3,24,6,No data
