Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
20/07/2010,13.3,-1.1,1.5,1.8,28.7,14.5,143.4,20,No data,8,No data,19,9,13,No data,9,No data,No data,19,No data,18,No data,No data,No data,19,No data,19,No data,9,No data,3,No data
21/07/2010,11.1,-2.4,-7.2,7.6,36.7,19.9,18.4,20,No data,7,No data,9,6,5,No data,6,No data,No data,23,No data,9,No data,No data,No data,13,No data,7,No data,13,No data,4,No data
22/07/2010,16,-1.5,-7.1,7.3,-2.3,7.4,11.9,18,No data,11,11,12,8,7,No data,11,No data,No data,21,No data,11,No data,No data,No data,15,No data,9,No data,2,7,6,No data
23/07/2010,18.4,4.2,1.1,4.3,-15.5,8.9,254.9,0,No data,14,12,17,9,9,No data,9,No data,No data,16,No data,18,No data,No data,No data,15,No data,11,No data,5,11,11,No data
24/07/2010,18,7.2,7.8,10.6,-6.2,11.1,222.6,15,No data,10,14,14,6,9,No data,7,No data,No data,20,No data,16,No data,No data,No data,16,No data,12,No data,6,9,4,No data
25/07/2010,16.7,8.4,-5.7,10.2,3,10.3,304,17,No data,8,11,12,7,7,No data,7,No data,No data,10,No data,11,No data,No data,No data,13,No data,9,No data,5,7,5,No data
26/07/2010,14.3,11.1,-0.9,11.1,-7.4,11.7,274.7,16,No data,11,11,15,9,9,No data,7,No data,No data,12,No data,10,No data,No data,No data,17,No data,10,No data,6,8,4,No data
27/07/2010,14.2,11.8,-1.3,11.8,-2.2,11.9,276.5,16,No data,11,10,14,5,12,No data,8,No data,No data,8,No data,13,No data,No data,No data,16,No data,14,No data,4,9,7,No data
28/07/2010,16.5,7.5,-5.3,9.2,1.2,9.2,304.9,17,No data,11,11,10,5,7,No data,7,No data,No data,8,No data,10,No data,No data,No data,13,No data,12,No data,3,8,4,No data
29/07/2010,14.5,4.2,-7.1,8.3,-18.6,12.4,329.1,0,No data,8,8,12,4,7,No data,6,No data,No data,11,No data,9,No data,No data,No data,13,No data,9,No data,6,8,No data,No data
30/07/2010,10.6,10.3,2.3,10.6,4.6,10.8,257.2,16,No data,10,15,13,4,11,No data,9,No data,No data,15,No data,11,No data,No data,No data,14,No data,13,No data,5,7,5,No data
31/07/2010,11.4,11.2,-2.5,11.5,20,15.2,282.7,26,No data,10,10,10,3,10,No data,7,No data,No data,13,No data,10,No data,No data,No data,11,No data,12,No data,2,6,1,No data
01/08/2010,15,3,-6,6.7,11.7,8.9,334,27,No data,6,8,10,3,10,No data,6,No data,No data,12,No data,10,No data,No data,No data,12,No data,11,No data,3,6,3,No data
02/08/2010,16.6,6.2,-2.7,6.7,-8.5,8,294,7,No data,10,9,16,7,10,No data,7,No data,No data,16,No data,12,No data,No data,No data,14,No data,13,No data,7,10,3,No data
03/08/2010,12.9,12.3,-2.3,12.5,-0.3,12.5,280.4,16,No data,10,15,14,4,13,No data,9,No data,No data,10,No data,No data,No data,No data,No data,15,No data,16,No data,5,8,5,No data
04/08/2010,10.1,9.6,-9.6,13.6,17.9,16.3,314.9,27,No data,8,10,12,6,9,No data,7,No data,No data,10,No data,10,No data,No data,No data,12,No data,10,No data,6,7,2,No data
05/08/2010,11.7,9.7,-4.9,10.9,2.6,10.9,296.7,17,No data,9,10,8,5,9,No data,6,No data,No data,13,No data,10,No data,No data,No data,12,No data,10,No data,4,8,4,No data
06/08/2010,14,6.4,8,10.3,36.8,21.1,218.7,20,No data,9,13,12,5,10,No data,8,No data,No data,20,No data,12,No data,14,No data,13,No data,10,No data,6,No data,2,No data
07/08/2010,18.3,4.8,-12,12.9,13.6,14.6,337.9,28,No data,8,10,14,No data,10,No data,6,No data,No data,15,No data,11,No data,10,No data,12,No data,9,No data,8,7,1,No data
08/08/2010,17.4,6.9,3.5,7.7,-7.7,8.6,243.2,5,No data,14,13,15,No data,11,No data,10,No data,No data,14,No data,17,No data,11,No data,14,No data,12,No data,9,12,5,No data
09/08/2010,13.2,8.9,4.3,9.9,21.8,14.7,244.4,20,No data,9,16,13,No data,14,No data,No data,No data,No data,16,No data,13,No data,11,No data,14,No data,13,No data,6,9,3,No data
10/08/2010,12.8,5.4,-3.6,6.5,37.3,19.8,303.5,20,No data,10,12,10,No data,7,No data,7,No data,No data,16,No data,No data,No data,10,No data,10,No data,7,No data,5,5,3,No data
11/08/2010,16.2,5.3,-13.9,14.9,18.6,17.5,338.9,28,No data,13,12,No data,No data,11,No data,9,No data,No data,11,No data,10,No data,9,No data,13,No data,10,No data,5,11,7,No data
12/08/2010,20.6,1.4,-15.4,15.5,5.6,15.8,355,18,No data,9,12,No data,9,12,No data,8,No data,No data,16,No data,9,No data,10,No data,13,No data,10,No data,5,9,5,No data
13/08/2010,21.6,0.3,-14.7,14.7,-1.1,14.7,358.8,18,No data,10,10,14,7,11,No data,6,No data,No data,23,No data,11,No data,10,No data,15,No data,No data,No data,8,10,4,No data
14/08/2010,21.3,-1.4,-3.7,4,-3.7,4.4,20.5,-1,No data,11,10,18,6,15,No data,10,No data,No data,25,No data,16,No data,12,No data,14,No data,No data,No data,10,11,4,No data
15/08/2010,21.5,-2.8,-3.6,4.5,-22.1,12,37.3,0,No data,19,15,17,9,13,No data,13,No data,No data,20,No data,18,No data,17,No data,17,No data,No data,No data,10,18,14,No data
16/08/2010,16.9,4,-2.2,4.6,2.4,4.7,298.5,-1,No data,No data,14,15,11,12,No data,9,No data,No data,22,No data,12,No data,14,No data,16,No data,No data,No data,10,12,8,No data
17/08/2010,10.7,9.2,-7.8,12.1,7.1,12.6,310.4,17,No data,No data,16,13,4,11,No data,9,No data,No data,11,No data,13,No data,9,No data,15,No data,No data,No data,9,9,3,No data
18/08/2010,7.1,11.3,-1.8,11.4,22.1,15.9,279.2,26,No data,10,13,9,3,9,No data,8,No data,No data,16,No data,9,No data,9,No data,12,No data,No data,No data,4,8,3,No data
19/08/2010,7.6,5.2,10,11.2,8.9,12.1,207.3,15,No data,8,14,11,4,8,No data,8,No data,No data,18,No data,9,No data,10,No data,11,No data,No data,No data,6,7,3,No data
20/08/2010,10.8,12.8,13.7,18.8,39.5,27.3,223,20,No data,6,10,11,3,10,No data,7,No data,No data,20,No data,11,No data,8,No data,12,No data,6,No data,6,8,No data,No data
21/08/2010,12.8,18.5,5.4,19.3,12.7,20.3,253.7,16,No data,5,11,No data,2,5,No data,6,No data,No data,13,No data,9,No data,10,No data,9,No data,5,No data,5,6,3,No data
22/08/2010,10.2,6.8,1.3,6.9,1.4,6.9,258.7,16,No data,7,10,8,4,6,No data,8,No data,No data,14,No data,9,No data,9,No data,12,No data,6,No data,4,7,4,No data
23/08/2010,4.8,4.2,-6.6,7.8,40.7,21.8,327.7,20,No data,12,11,8,8,6,No data,11,No data,No data,22,No data,7,No data,9,No data,10,No data,5,No data,7,6,3,No data
24/08/2010,6.7,15.1,-13.8,20.5,10.8,21.2,312.3,17,No data,6,9,7,No data,6,No data,6,No data,No data,11,No data,7,No data,6,No data,10,No data,6,No data,3,7,2,No data
25/08/2010,10.3,0.6,2.1,2.2,-7.7,4.5,194.5,0,No data,11,16,12,9,7,No data,12,No data,No data,17,No data,9,No data,10,No data,13,No data,6,No data,4,7,5,No data
26/08/2010,9.6,-3.9,-1.1,4.1,-4.4,4.6,73.8,2,No data,8,12,No data,13,7,No data,10,No data,No data,30,No data,13,No data,11,No data,8,No data,5,No data,8,7,2,No data
27/08/2010,12.9,3.5,-11.3,11.8,-8.4,12.6,342.8,18,No data,9,9,No data,11,6,No data,8,No data,No data,15,No data,12,No data,10,No data,11,No data,5,No data,6,9,2,No data
28/08/2010,17.9,13.3,-11.7,17.7,-5.1,17.9,311.2,17,No data,7,8,8,5,7,No data,8,No data,No data,10,No data,8,No data,7,No data,10,No data,6,No data,3,9,3,No data
29/08/2010,18.6,3.4,-23.1,23.3,4.4,23.4,351.6,18,No data,5,7,7,6,5,No data,6,No data,No data,13,No data,10,No data,7,No data,9,No data,6,No data,3,7,2,No data
30/08/2010,20.7,1.4,-3.5,3.8,-41.1,20.9,338.1,0,No data,9,10,11,7,7,No data,10,No data,No data,17,No data,10,No data,11,No data,11,No data,7,No data,4,10,6,No data
31/08/2010,18.5,1.4,3.8,4.1,-35.6,18.3,201,0,No data,21,20,19,16,10,No data,14,No data,No data,17,No data,13,No data,13,No data,15,No data,9,No data,14,12,10,No data
01/06/2011,19.5,23,6,23.8,-17.8,25.4,255.3,16,No data,13,16,15,7,13,No data,9,No data,No data,14,No data,15,No data,15,21,No data,No data,12,No data,6,11,No data,No data
02/06/2011,26.6,8.5,1,8.6,-43.4,23.3,263,0,No data,17,17,22,11,17,No data,12,No data,No data,15,No data,23,No data,20,22,No data,No data,15,No data,8,17,No data,No data
03/06/2011,29,0.4,2,2,-26,13.2,191.3,0,No data,14,17,No data,17,12,No data,10,No data,No data,24,No data,14,No data,20,12,No data,No data,7,No data,11,11,No data,No data
04/06/2011,26,-10.4,-6.7,12.4,-20.6,16.1,57.2,1,No data,12,14,No data,10,11,No data,8,No data,No data,22,No data,13,No data,18,9,No data,No data,7,No data,8,11,No data,No data
05/06/2011,15.2,-5.9,-3.9,7.1,-12.6,9.5,56.4,1,No data,14,11,13,9,10,No data,9,No data,No data,20,No data,13,No data,14,11,No data,No data,8,No data,8,13,No data,No data
06/06/2011,7.6,5.5,0,5.6,22.8,12.7,270.4,20,No data,15,10,21,6,13,No data,10,No data,No data,14,No data,16,No data,13,21,No data,No data,8,No data,5,13,No data,No data
07/06/2011,9.3,-0.4,1.9,2,54.3,27.2,168.2,20,No data,11,15,15,7,14,No data,8,No data,No data,19,No data,13,No data,14,28,No data,No data,8,No data,6,9,No data,No data
08/06/2011,10.8,6,-4.8,7.7,46.6,24.6,308.6,20,No data,8,13,10,5,8,No data,6,No data,No data,19,No data,9,No data,10,23,No data,No data,4,No data,6,7,No data,No data
09/06/2011,12,13.7,-0.3,13.7,12,15,271.5,16,No data,10,12,10,3,9,No data,8,No data,No data,12,No data,8,No data,11,23,No data,No data,4,No data,2,7,No data,No data
10/06/2011,15.4,3.2,3.3,4.6,12.4,7.7,224.9,20,No data,13,16,14,8,9,No data,11,No data,No data,17,No data,11,No data,15,24,No data,No data,4,No data,6,6,No data,No data
11/06/2011,15.9,1.9,-3.7,4.2,2.9,4.4,333.1,-1,No data,11,14,12,9,10,No data,11,No data,No data,21,No data,13,No data,12,20,No data,No data,10,No data,5,8,No data,No data
12/06/2011,12.8,-5,12.4,13.3,19.7,16.6,158,24,No data,11,13,10,7,7,No data,8,No data,No data,27,No data,10,No data,13,12,No data,No data,4,No data,8,7,No data,No data
13/06/2011,12.6,7.6,-7.7,10.8,23.8,16.1,315.5,20,No data,11,10,9,8,9,No data,6,No data,No data,16,No data,8,No data,10,16,No data,No data,4,No data,6,7,No data,No data
