Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Christchurch Barrack Road,Glasgow High Street,Glasgow Kerbside,Greenock A8 Roadside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Sheffield Barnsley Road,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
18/12/2010,1.3,-8.6,4.3,9.6,44.2,24.1,116.8,20,No data,20,21,16,30,13,20,25,No data,No data,35,No data,22,No data,26,22,No data,No data,18,No data,17,14,9,No data
19/12/2010,0.8,-15.5,-1.7,15.6,25.8,20.3,83.8,22,No data,35,25,15,39,17,35,30,No data,No data,32,No data,22,No data,26,17,No data,No data,18,No data,17,23,12,No data
20/12/2010,4.8,-3.8,-3.9,5.5,15,9.3,44.8,20,No data,48,52,27,44,22,37,46,No data,No data,37,No data,34,No data,52,35,No data,No data,27,No data,25,24,12,No data
21/12/2010,6.9,-3,-1.5,3.4,7.4,5,63.5,20,No data,37,35,23,55,29,41,41,No data,No data,44,No data,27,No data,57,25,No data,No data,22,No data,30,33,No data,No data
22/12/2010,11.3,-8.7,-5.8,10.5,-5.2,10.8,56.2,11,No data,24,28,26,54,24,35,28,No data,No data,71,No data,24,No data,31,23,No data,No data,24,No data,24,26,No data,No data
23/12/2010,15.7,-7.8,-11.9,14.2,-22.5,18.1,33.5,1,No data,15,17,13,52,10,25,16,No data,No data,65,No data,14,No data,20,11,No data,No data,13,No data,9,13,No data,No data
24/12/2010,19.4,-0.6,-9.5,9.5,-24.9,15.7,3.6,0,No data,20,23,16,59,14,20,10,No data,No data,51,No data,22,No data,15,13,No data,No data,15,No data,7,16,No data,No data
25/12/2010,21.4,6.1,-2,6.4,-35.9,19,288.2,0,No data,25,51,23,59,22,37,14,No data,No data,38,No data,27,No data,16,26,No data,No data,28,No data,9,22,No data,No data
26/12/2010,14.2,8.8,26.2,27.7,-25.1,30.4,198.4,14,No data,24,44,27,32,18,36,32,No data,No data,29,No data,35,No data,30,35,No data,No data,33,No data,13,18,No data,No data
27/12/2010,8.5,-0.4,23.8,23.8,9.2,24.3,179,14,No data,12,18,13,16,14,21,19,No data,No data,33,No data,18,No data,24,18,No data,No data,17,No data,18,12,No data,No data
28/12/2010,13.4,0.3,19.1,19.1,31.8,24.9,180.9,24,No data,15,27,19,22,16,24,26,No data,No data,44,No data,30,No data,30,25,No data,No data,22,No data,13,15,No data,No data
29/12/2010,17.7,-0.6,11.5,11.5,11,12.8,177.3,14,No data,23,30,No data,21,28,23,32,No data,No data,46,No data,39,No data,50,34,No data,No data,28,No data,22,No data,No data,No data
30/12/2010,19.9,-3.8,0.7,3.9,-29,15,100.9,0,No data,29,28,No data,32,27,27,47,No data,No data,58,No data,32,No data,41,29,No data,No data,34,No data,23,No data,No data,No data
31/12/2010,19,8.2,-5.1,9.7,-36.4,20.6,302,0,No data,37,31,27,24,34,28,20,No data,No data,31,No data,35,No data,18,27,No data,No data,34,No data,10,29,No data,No data
01/01/2011,24.1,-1.6,-10.4,10.5,-26.8,17,8.8,0,No data,17,9,19,10,22,22,10,No data,No data,16,No data,25,No data,13,20,No data,No data,23,No data,5,27,No data,No data
