Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
05/10/2013,12.9,11.6,6.3,13.2,-26.8,18.8,241.6,0,No data,48,No data,68,22,26,36,17,No data,46,38,20,43,70,41,35,No data,5,22,29,28
06/10/2013,14.8,17.7,9.9,20.2,-19,22.4,240.8,15,No data,35,No data,72,14,29,40,13,No data,28,50,17,31,108,39,32,No data,4,16,25,33
07/10/2013,17.2,15.1,11.6,19,5.2,19.2,232.3,15,No data,43,No data,68,12,28,43,15,No data,36,57,19,37,114,45,40,No data,6,22,20,32
08/10/2013,20.4,14.6,-5.5,15.6,-0.8,15.6,290.8,16,No data,40,No data,52,18,22,44,14,No data,33,43,17,29,113,39,38,No data,4,19,18,25
09/10/2013,20,10.7,-23.6,25.9,8.8,26.3,335.6,17,No data,46,No data,48,19,26,39,12,No data,43,28,14,28,73,37,29,No data,4,25,16,21
10/10/2013,22.1,-4.7,-17.5,18.1,-32.9,24.5,14.9,8,No data,35,No data,91,22,13,20,7,No data,77,25,11,39,42,19,11,No data,14,25,8,21
11/10/2013,23.9,-11.8,-5.6,13.1,-35.7,22.1,64.7,0,No data,36,No data,77,32,13,19,16,No data,107,33,14,43,35,11,15,No data,14,26,13,21
12/10/2013,23.1,-11.4,-1.7,11.5,-21.5,15.8,81.3,2,No data,25,No data,86,24,24,30,15,No data,103,41,17,38,74,25,33,No data,12,23,20,25
13/10/2013,18.9,-9.8,-7.7,12.5,11.6,13.8,52,11,No data,24,No data,54,22,24,14,No data,No data,78,31,13,30,68,21,26,No data,10,No data,16,21
14/10/2013,15.2,-8.2,-6,10.2,7.5,10.8,54.2,11,No data,47,No data,62,35,22,50,No data,No data,101,51,26,48,120,44,23,No data,20,No data,29,30
15/10/2013,11,-6,0,6,-8.8,7.4,90,2,No data,58,No data,67,45,29,31,23,No data,101,39,34,59,75,46,41,No data,26,No data,53,34
16/10/2013,9.2,-0.5,8.4,8.4,18.1,12.3,176.9,20,No data,49,No data,75,44,22,40,No data,No data,89,57,24,50,113,27,31,No data,26,24,21,29
17/10/2013,9.8,2.8,2.8,3.9,-14.9,8.4,225.2,0,No data,No data,No data,58,37,24,57,28,No data,98,47,29,46,130,48,43,No data,12,18,31,38
18/10/2013,10,-9.3,24.5,26.2,1.6,26.2,159.1,14,No data,No data,No data,85,43,15,40,32,No data,89,53,32,62,97,26,36,No data,36,29,48,33
19/10/2013,4.8,-3.2,15.4,15.7,37.4,24.4,168.3,20,No data,No data,No data,62,21,15,36,18,No data,102,54,15,50,87,23,12,No data,13,11,28,28
20/10/2013,5.8,2.1,13.7,13.8,51.9,29.4,188.7,20,No data,No data,No data,48,13,10,18,No data,No data,75,47,7,38,91,21,7,No data,7,7,8,28
21/10/2013,2.3,1.4,18.1,18.2,33.5,24.7,184.6,24,No data,No data,No data,50,33,14,27,18,No data,84,59,12,48,101,28,11,No data,16,13,18,30
22/10/2013,-7,6,16.1,17.2,45.9,28.7,200.6,20,No data,35,No data,51,32,12,30,No data,No data,88,49,12,51,101,27,10,No data,11,16,22,29
23/10/2013,-3.9,21.8,-8.1,23.3,32.6,28.4,290.4,26,No data,37,No data,51,22,17,46,16,No data,44,45,15,32,113,35,18,No data,6,14,32,28
24/10/2013,4.8,3,9.6,10,-30.7,18.3,197.4,0,No data,52,No data,95,42,21,31,36,No data,70,63,33,65,102,35,35,No data,23,29,43,36
25/10/2013,4.6,-1,14.5,14.6,47.6,27.9,176.1,20,No data,25,No data,54,32,15,29,20,No data,80,45,12,42,91,22,12,No data,14,10,22,28
26/10/2013,-5,16.2,22.1,27.4,13,28.2,216.2,15,No data,15,No data,38,12,10,25,10,No data,57,38,7,27,83,14,6,No data,4,4,13,28
27/10/2013,10.4,28.7,12.9,31.5,52.9,41.1,245.8,25,No data,12,No data,28,9,4,17,5,No data,33,26,5,14,75,13,3,No data,1,3,8,17
28/10/2013,-6.5,22.6,-8.8,24.2,48,34.1,291.2,26,No data,37,No data,37,24,12,47,15,No data,60,34,12,32,94,26,13,No data,5,7,19,32
29/10/2013,8.6,19.6,-12.3,23.1,8.6,23.5,302,17,No data,48,No data,50,21,21,61,15,No data,46,47,17,31,111,39,37,No data,2,22,36,26
30/10/2013,9.8,19.6,24.9,31.7,11.2,32.2,218.2,15,No data,42,No data,71,21,24,36,21,No data,72,64,17,38,117,40,32,No data,10,25,34,32
31/10/2013,5.6,25.1,13,28.2,0.5,28.2,242.6,15,No data,45,No data,71,14,18,43,16,No data,53,57,21,37,111,37,17,No data,8,11,28,33
01/11/2013,1.2,20.2,7.3,21.4,-1.1,21.4,250.2,16,No data,51,No data,76,29,18,45,32,No data,56,63,25,65,109,44,18,No data,17,20,36,43
02/11/2013,-1.3,9.2,14.2,16.9,54.4,32,213,20,No data,26,No data,47,27,13,27,15,No data,77,37,15,39,81,21,14,No data,15,10,19,29
03/11/2013,-3.4,18.9,-10.6,21.7,30,26.4,299.3,27,No data,24,No data,37,22,10,33,19,No data,38,30,8,28,95,21,9,No data,5,8,16,22
04/11/2013,-7,7.8,-12.7,14.9,-3.1,15,328.4,17,No data,59,No data,62,53,25,47,31,No data,82,40,28,55,70,45,33,No data,22,26,49,42
05/11/2013,-6.8,15.6,-4.3,16.2,26.8,21,285.3,26,No data,58,No data,58,44,23,55,28,No data,91,54,21,62,119,44,41,No data,33,21,33,39
06/11/2013,-4.2,17.5,5.7,18.4,17.4,20.3,252.1,16,No data,55,No data,68,33,18,47,29,No data,77,53,20,58,106,35,19,No data,17,12,35,41
07/11/2013,-2.3,22,9.9,24.1,3.7,24.2,245.7,15,No data,62,No data,71,27,29,56,26,No data,59,58,25,41,121,50,51,No data,6,30,52,35
08/11/2013,1.1,17.3,0.2,17.3,14.7,18.8,269.4,16,No data,67,No data,96,37,26,59,36,No data,75,72,32,63,118,54,51,No data,21,30,70,42
09/11/2013,3.6,11.9,-1.1,12,15.7,14.3,275.4,26,No data,49,No data,91,41,30,47,31,No data,99,63,26,52,98,46,43,No data,10,37,54,40
10/11/2013,10.8,6.6,4,7.7,-36.5,19.8,238.8,0,No data,52,No data,74,46,30,50,28,No data,87,50,27,48,71,46,38,No data,24,28,33,36
11/11/2013,12.8,22.8,2,22.8,-1.9,22.9,265.1,16,No data,50,No data,72,29,15,48,28,No data,71,75,22,59,110,49,18,No data,18,14,38,34
12/11/2013,18,21.6,-7.4,22.8,-32.9,28.1,288.8,6,No data,84,No data,110,25,31,37,35,No data,51,47,31,50,70,56,40,No data,11,36,41,31
13/11/2013,19.2,25.2,19.1,31.7,-12.2,32.2,232.9,15,No data,68,No data,86,21,36,48,29,No data,54,68,28,44,123,60,53,No data,10,29,41,32
14/11/2013,22.4,15.2,-24.1,28.6,-11.1,29.1,327.7,17,No data,49,No data,68,33,28,36,11,No data,60,34,18,30,69,38,32,No data,12,33,21,27
15/11/2013,20.7,21.1,-2.9,21.3,-51.3,33.3,277.7,0,No data,84,No data,137,40,33,40,43,No data,62,62,45,51,74,66,36,No data,13,46,58,42
16/11/2013,18.9,22.4,-1.1,22.4,-36.7,28.9,272.8,6,No data,60,No data,89,19,47,46,17,No data,44,66,37,32,101,60,59,No data,7,37,48,31
17/11/2013,18.3,8.3,6.3,10.5,-23.7,15.8,232.9,0,No data,58,No data,79,32,37,28,34,No data,80,52,36,56,59,31,34,No data,21,36,51,40
18/11/2013,10.7,11.1,-10.8,15.5,7.8,16,314.4,17,No data,57,No data,65,38,32,46,26,No data,75,45,32,46,73,47,36,No data,26,34,35,No data
19/11/2013,11.7,14.6,-10.5,18,-28,22.8,305.8,7,No data,74,No data,101,39,42,57,25,No data,65,49,39,58,69,60,46,No data,24,48,39,No data
20/11/2013,12.2,4,-33.5,33.7,58.6,44.6,353.1,28,No data,47,No data,74,27,51,49,12,No data,65,56,20,35,95,No data,46,No data,13,31,21,No data
21/11/2013,13.1,-7.1,-15,16.6,-12.7,17.7,25.4,11,No data,49,No data,92,41,20,25,25,No data,114,41,28,53,46,26,24,No data,29,34,22,No data
22/11/2013,18.3,0,-8,8,-25,14.8,360,0,No data,66,No data,112,58,24,33,31,No data,116,46,40,62,55,39,23,No data,49,50,50,No data
23/11/2013,23,2,-9.8,10,-25.5,16.2,348.5,0,No data,71,No data,112,48,26,41,49,No data,100,43,40,64,52,44,18,No data,30,38,53,37
24/11/2013,29.1,-2.5,-6.7,7.2,-36.4,19.5,20.5,0,No data,44,No data,88,45,19,30,19,No data,99,40,36,51,46,28,14,No data,23,30,46,28
25/11/2013,32.3,5,-2,5.4,-43,22.1,292.4,0,No data,65,No data,119,64,34,40,29,No data,122,51,39,58,62,49,30,No data,35,46,74,35
