Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
06/04/2011,13.3,19.1,8.5,20.9,-13.9,22,245.9,15,No data,38,97,72,22,31,49,21,No data,36,34,No data,32,149,36,28,No data,4,30,44,19
07/04/2011,19,15.1,-4.3,15.7,-45.8,27.8,285.8,0,No data,66,78,115,32,40,55,17,No data,42,30,No data,31,88,45,57,No data,10,39,29,15
08/04/2011,18,6.1,-2.4,6.6,-51.1,26.4,291.8,0,No data,77,99,161,42,39,45,35,No data,68,38,No data,45,82,61,65,No data,24,33,50,18
09/04/2011,18.5,-0.8,14.7,14.7,-30.3,21.1,177.1,0,No data,42,82,98,21,26,36,30,No data,100,35,No data,55,100,18,42,No data,15,28,50,23
10/04/2011,19.7,7,4.4,8.3,-18.5,12.4,238.1,0,No data,52,93,92,23,35,30,29,No data,57,39,No data,52,81,22,41,No data,13,29,44,28
11/04/2011,18.8,16.2,-11.5,19.9,-9.3,20.4,305.3,17,No data,68,93,89,40,46,53,23,No data,41,33,No data,42,112,44,61,No data,9,27,21,43
12/04/2011,19.3,16.4,-1.7,16.5,-53.6,31.5,276.1,0,No data,52,68,84,27,31,53,No data,No data,44,21,No data,29,61,41,48,No data,8,35,24,24
13/04/2011,14,9.6,14.4,17.3,-0.9,17.3,213.6,15,No data,47,113,104,17,41,51,No data,No data,66,40,No data,37,150,54,48,No data,12,19,38,31
14/04/2011,11.6,9.8,3.2,10.3,-26.5,16.8,251.8,0,No data,61,92,102,38,36,49,No data,No data,75,41,No data,52,153,66,27,No data,13,27,58,41
15/04/2011,15.1,9.4,2.5,9.7,-14.2,12.1,255,6,No data,66,56,119,29,33,55,No data,No data,78,45,No data,59,173,64,44,No data,13,37,35,44
16/04/2011,15.8,11.1,0.3,11.1,-35.1,20.7,268.4,0,No data,46,33,110,20,41,39,No data,No data,45,38,No data,38,102,47,53,No data,10,27,31,29
17/04/2011,18.9,4.4,2.9,5.3,-34.8,18.2,236.8,0,No data,49,28,106,21,24,22,No data,No data,45,31,No data,35,90,23,44,No data,7,24,39,21
18/04/2011,14.9,-2.1,10.4,10.6,-17,13.6,168.3,4,No data,65,53,106,40,38,40,No data,No data,113,41,No data,57,107,35,59,No data,22,33,61,23
19/04/2011,14.4,-3.8,-1.8,4.2,-7.8,5.7,64.3,1,No data,70,54,132,55,39,44,No data,No data,89,45,No data,60,144,41,65,No data,42,33,70,36
20/04/2011,12.2,0.6,4.3,4.3,-21,11.4,188,0,No data,80,82,155,50,64,48,No data,No data,101,52,No data,67,123,44,78,No data,44,37,66,34
21/04/2011,11.8,-5.5,6.1,8.3,-19.2,12.7,137.9,0,No data,67,101,154,61,81,47,No data,No data,126,62,No data,79,134,30,86,No data,48,49,78,35
22/04/2011,8.9,-4.5,14.8,15.5,16.3,17.5,162.9,24,No data,68,65,102,27,43,41,No data,No data,137,51,No data,59,123,41,59,No data,39,32,63,32
23/04/2011,11.2,5.2,-2.2,5.7,-20.5,11.7,292.9,0,No data,55,41,100,28,47,34,No data,No data,68,51,No data,47,122,42,73,No data,23,24,17,36
24/04/2011,17.3,4.2,-2.4,4.8,-21.9,12,300,0,No data,26,37,69,21,28,18,No data,No data,50,27,No data,38,42,16,44,No data,22,32,13,18
25/04/2011,22.7,0.8,-4.8,4.9,-31.1,16.3,350,0,No data,33,41,62,21,15,19,No data,No data,53,17,No data,33,27,18,24,No data,16,24,23,26
26/04/2011,24.7,-5.7,-0.6,5.7,-38.2,19.9,83.9,0,No data,40,56,114,35,18,27,No data,No data,114,25,No data,43,35,19,31,No data,21,30,32,27
27/04/2011,23.8,-0.2,5.4,5.4,-23.5,13,177.4,0,No data,51,57,116,43,11,30,No data,No data,98,25,No data,48,38,16,26,No data,25,30,36,30
28/04/2011,18.3,-4.4,3,5.3,-29.4,15.6,123.9,0,No data,47,49,137,47,18,38,No data,No data,108,25,No data,53,38,18,28,No data,21,34,47,31
29/04/2011,17.6,-14.1,3.2,14.5,-10,15.3,102.6,12,No data,30,33,49,21,22,19,No data,No data,98,26,No data,35,34,16,29,No data,18,22,26,26
30/04/2011,15.3,-16,5.4,16.9,-8.5,17.4,108.6,12,No data,18,36,44,20,20,18,No data,No data,100,22,No data,39,52,12,24,No data,15,27,22,22
