Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
17/02/2010,-1.3,-13.4,1.1,13.5,42.9,25.3,94.6,20,NaN,NaN,93,182,48,NaN,47,49,NaN,123,97,NaN,81,151,49,71,NaN,40,51,73,72
18/02/2010,0,-4.2,-5.4,6.8,38.2,20.3,37.4,20,NaN,NaN,76,178,47,NaN,50,49,NaN,127,111,NaN,80,153,52,64,NaN,62,31,NaN,71
19/02/2010,0.1,3.8,-8.3,9.1,35.8,20.1,335.3,20,NaN,72,91,84,27,NaN,57,32,NaN,135,51,NaN,69,102,59,65,NaN,25,32,NaN,63
20/02/2010,0.4,3.1,-1.6,3.5,29.7,15.3,296.8,20,NaN,86,84,108,24,NaN,57,35,NaN,101,61,NaN,80,126,80,73,NaN,18,40,73,77
21/02/2010,-3.7,-1.1,1.2,1.6,38.5,19.3,135.6,20,NaN,57,76,114,26,NaN,39,35,NaN,98,70,NaN,76,NaN,63,34,NaN,39,19,45,53
22/02/2010,-6.9,-11,-3.7,11.6,20.5,15.5,71.6,22,NaN,55,84,123,50,NaN,28,29,NaN,128,51,NaN,69,NaN,NaN,42,NaN,36,38,46,69
23/02/2010,-5,-12.3,8.6,15,11.6,16.1,124.8,13,NaN,46,89,121,44,NaN,40,42,NaN,127,44,NaN,69,109,NaN,45,NaN,35,38,50,64
24/02/2010,0.6,-14.4,4.3,15,56.2,31.9,106.5,20,NaN,82,109,176,44,NaN,48,47,NaN,108,76,NaN,81,143,34,37,NaN,42,20,74,61
25/02/2010,-2.5,-15.4,-1.7,15.5,50.5,29.6,83.9,20,NaN,77,108,104,34,NaN,49,47,NaN,111,53,NaN,76,146,28,32,NaN,42,18,55,59
26/02/2010,-2,-2.5,-8.7,9.1,45.6,24.5,16.3,20,NaN,45,59,44,33,NaN,55,20,NaN,119,28,NaN,51,123,29,36,NaN,20,11,28,49
27/02/2010,-3.8,-6.9,5.4,8.8,16.9,12.2,127.6,23,NaN,62,75,89,28,NaN,47,35,NaN,121,59,NaN,69,133,40,24,NaN,29,14,74,75
28/02/2010,-2.7,-3,-13.4,13.7,16.2,15.9,12.5,28,NaN,27,38,59,25,NaN,34,10,NaN,102,27,NaN,38,55,16,30,NaN,17,19,23,43
01/03/2010,7.7,2.9,-4.2,5.1,-18,10.3,325.2,0,NaN,86,90,113,35,NaN,55,32,NaN,110,NaN,NaN,56,118,71,76,NaN,29,42,65,72
02/03/2010,17.1,1.2,3.5,3.7,-31,15.9,199.5,0,NaN,100,108,167,46,NaN,40,52,NaN,121,NaN,NaN,76,123,53,85,NaN,43,46,69,76
03/03/2010,19.1,-4.2,8.7,9.7,-6.2,10.1,154.2,13,NaN,62,106,87,52,NaN,42,49,NaN,122,38,NaN,87,128,17,36,NaN,42,37,47,77
04/03/2010,23.6,-3.3,-3.3,4.7,-28.4,14.9,45.8,0,NaN,84,90,79,49,NaN,36,44,NaN,101,46,NaN,74,58,31,NaN,NaN,51,43,59,NaN
05/03/2010,24.7,7.5,-12.2,14.3,-31.7,21.3,328.4,0,NaN,67,71,97,40,NaN,57,27,NaN,81,49,NaN,46,106,58,NaN,NaN,17,60,46,NaN
06/03/2010,22.5,1.4,0.6,1.5,-43.6,21.9,246.5,0,NaN,38,77,66,16,NaN,37,39,NaN,109,31,NaN,71,58,15,27,NaN,16,36,39,NaN
07/03/2010,23.7,-0.1,7.8,7.8,-57.1,29.6,178.9,0,NaN,47,80,59,21,NaN,23,34,NaN,64,37,NaN,71,62,15,29,NaN,16,32,34,NaN
08/03/2010,24.2,-5.4,3.3,6.3,-46.6,24.1,121.5,0,NaN,81,94,77,55,NaN,36,51,NaN,113,54,NaN,83,54,27,40,NaN,51,41,52,NaN
09/03/2010,25.8,-1.4,-1.3,1.9,-47.1,23.6,47,0,NaN,62,68,77,62,NaN,35,38,NaN,114,42,NaN,66,47,14,41,NaN,42,32,56,NaN
10/03/2010,24.1,0.2,-3.1,3.1,-47.6,24,355.4,0,NaN,63,77,55,54,NaN,32,40,NaN,104,41,NaN,74,45,7,33,NaN,59,26,49,NaN
11/03/2010,21.6,9.1,-9.4,13.1,-21.1,16.8,316.2,7,NaN,87,70,112,31,NaN,40,34,NaN,82,51,NaN,71,58,67,42,NaN,20,39,45,NaN
12/03/2010,24.4,1.5,-14.4,14.5,-13.2,16,354.1,18,NaN,60,49,NaN,45,NaN,49,13,NaN,114,53,NaN,56,89,46,64,NaN,19,47,27,NaN
13/03/2010,25.9,11.8,-13.5,18,-22.8,21.3,318.8,7,NaN,44,54,NaN,21,NaN,38,13,NaN,68,24,NaN,34,62,28,28,NaN,7,36,29,NaN
14/03/2010,24.8,9.9,-13.7,16.9,-26.5,21.5,324.2,7,NaN,20,28,NaN,15,NaN,35,7,NaN,44,19,NaN,17,47,23,24,NaN,6,38,28,NaN
15/03/2010,20.8,11.5,-7.6,13.8,-21.6,17.5,303.4,7,NaN,64,49,NaN,24,NaN,59,15,NaN,55,32,NaN,24,98,46,53,NaN,5,32,49,NaN
16/03/2010,15,6.8,12,13.8,-33,21.5,209.8,0,NaN,77,93,NaN,24,NaN,53,44,NaN,79,64,NaN,57,162,64,53,NaN,20,40,60,70
17/03/2010,9.9,17.4,13.6,22.1,-12.7,23,232,15,NaN,61,82,120,14,NaN,62,21,NaN,64,64,NaN,48,164,59,31,NaN,14,24,43,63
18/03/2010,2.7,13.9,28.4,31.7,11.9,32.2,206,15,NaN,52,77,135,16,NaN,59,23,NaN,73,67,NaN,45,162,50,35,NaN,15,28,47,48
19/03/2010,1.7,22.1,6.4,23.1,-1.3,23.1,253.9,16,NaN,52,75,127,22,NaN,49,28,NaN,56,47,NaN,46,156,45,22,NaN,17,22,43,54
20/03/2010,4,8.3,-10.4,13.3,-0.7,13.3,321.2,17,NaN,27,58,92,32,NaN,29,17,NaN,86,33,NaN,56,109,22,12,NaN,34,10,18,52
21/03/2010,10,13,8.4,15.5,-16.9,17.7,237.2,5,NaN,30,60,106,19,NaN,36,13,NaN,65,36,NaN,32,98,39,24,NaN,10,20,26,54
22/03/2010,10.3,18.8,14.8,23.9,23,26.5,231.8,15,NaN,46,77,99,17,NaN,46,NaN,NaN,62,51,NaN,33,146,44,24,NaN,8,18,31,50
23/03/2010,6.9,9.3,21.1,23.1,-8.7,23.5,203.7,15,NaN,70,97,186,25,NaN,46,NaN,NaN,77,74,NaN,55,141,43,54,NaN,20,40,54,48
24/03/2010,3.3,2.4,14.1,14.3,22.4,18.2,189.7,24,NaN,62,87,213,18,NaN,52,NaN,NaN,97,83,NaN,51,145,43,62,NaN,25,32,55,47
25/03/2010,-0.3,-10.6,11.3,15.5,17.9,17.9,136.9,23,NaN,59,91,NaN,33,NaN,46,27,NaN,104,55,NaN,55,146,36,32,NaN,43,20,44,41
26/03/2010,0.8,2.3,7,7.4,49,25.6,198.5,20,NaN,39,70,NaN,17,NaN,47,20,NaN,65,39,NaN,28,154,43,14,NaN,9,10,44,46
27/03/2010,7.2,14.8,-11.7,18.8,35.1,25.7,308.2,27,NaN,34,45,NaN,10,NaN,48,17,NaN,43,34,NaN,27,111,35,39,NaN,5,13,26,55
28/03/2010,7.7,6.1,-12.4,13.8,31.5,20.9,333.7,20,NaN,32,44,NaN,10,NaN,41,10,NaN,51,29,NaN,11,118,40,24,NaN,3,12,26,44
29/03/2010,1.5,-8.7,8.3,12,26,17.7,133.5,20,NaN,67,95,NaN,22,NaN,45,40,NaN,107,54,NaN,64,134,35,30,NaN,32,14,43,46
30/03/2010,1.5,-10.5,-10.5,14.9,72.4,39.1,44.9,20,NaN,49,90,72,26,NaN,40,21,NaN,100,45,NaN,62,142,38,20,NaN,44,9,24,42
31/03/2010,3.6,6,-27.8,28.5,60.5,41.5,347.8,20,NaN,42,47,46,16,NaN,48,14,NaN,87,24,NaN,NaN,129,42,30,NaN,19,9,12,46
01/04/2010,4.3,15.9,-5,16.7,12.2,17.8,287.4,16,NaN,48,56,59,17,NaN,54,12,NaN,59,36,NaN,43,151,50,33,NaN,4,9,41,51
02/04/2010,4.9,-2.3,10,10.2,46.1,25.2,166.7,20,NaN,47,74,66,17,NaN,35,20,NaN,119,41,NaN,68,118,23,9,NaN,26,8,34,42
03/04/2010,8.3,-2.5,-3.3,4.1,46.4,23.6,38,20,NaN,43,53,80,24,NaN,31,15,NaN,96,47,NaN,57,112,22,16,NaN,22,15,40,55
04/04/2010,10,10.1,-1.2,10.2,-6.8,10.7,276.9,16,NaN,25,32,47,10,NaN,29,10,NaN,53,21,NaN,41,63,24,30,NaN,7,15,17,51
05/04/2010,8,21.8,31.6,38.4,12.6,38.9,214.5,15,NaN,14,38,48,5,NaN,19,5,NaN,44,37,NaN,25,106,27,10,NaN,6,5,14,44
06/04/2010,8.7,12.1,16.1,20.1,22,22.9,216.9,25,NaN,48,70,82,15,NaN,40,13,NaN,80,62,NaN,39,125,36,28,NaN,12,21,27,43
07/04/2010,17.5,9.6,-2.1,9.9,-7.3,10.5,282.5,16,NaN,45,53,123,29,NaN,31,13,NaN,NaN,55,NaN,53,92,59,64,NaN,32,50,20,54
08/04/2010,23,12.4,-2.9,12.7,-30.3,19.8,283,0,NaN,67,NaN,107,21,NaN,56,16,NaN,NaN,46,NaN,43,93,63,51,NaN,6,47,42,53
