Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
21/09/2012,16.6,-2.5,-7.7,8.1,-12.8,10.3,18.3,8,12,NaN,26,30,12,41,37,NaN,NaN,NaN,NaN,19,28,NaN,17,23,33,NaN,38,67,27,39,NaN,33,28,11,37,20,30,NaN,34,30,23,NaN,NaN,39,NaN,31,14,21,NaN,NaN
22/09/2012,14.3,1.9,6.3,6.6,-35.5,18.9,197.2,0,13,NaN,30,43,26,31,26,NaN,NaN,NaN,NaN,8,33,NaN,22,17,35,NaN,27,54,15,32,NaN,30,25,12,37,20,23,NaN,42,29,8,NaN,NaN,24,NaN,31,18,30,NaN,NaN
23/09/2012,8.6,-8.6,14.1,16.4,-2.8,16.5,148.7,13,NaN,NaN,29,26,16,25,25,NaN,NaN,NaN,NaN,13,17,NaN,21,9,31,NaN,28,58,23,44,NaN,24,22,11,22,15,17,NaN,26,33,16,NaN,NaN,18,NaN,10,11,19,NaN,NaN
24/09/2012,4.9,-12.4,-8,14.8,59.8,33.4,57.1,20,NaN,NaN,31,19,9,21,23,NaN,NaN,NaN,NaN,8,4,NaN,26,12,37,NaN,25,52,24,35,NaN,21,14,11,24,11,11,NaN,21,21,18,NaN,NaN,27,NaN,16,7,25,NaN,NaN
25/09/2012,3.3,-12.8,-15.9,20.4,79.9,44.8,38.8,20,NaN,NaN,15,16,13,22,28,NaN,NaN,NaN,NaN,4,8,NaN,25,14,40,NaN,22,39,11,23,NaN,32,16,5,32,10,10,NaN,28,15,9,NaN,NaN,26,13,20,NaN,23,NaN,NaN
26/09/2012,5.6,-7.9,-16.4,18.2,32.3,24.3,25.9,21,NaN,NaN,19,27,11,27,30,NaN,NaN,NaN,NaN,9,18,NaN,28,16,34,NaN,32,59,16,42,NaN,34,19,11,35,19,16,21,37,23,16,NaN,NaN,40,21,26,13,26,NaN,NaN
27/09/2012,5.3,14.5,-1.6,14.6,-2.4,14.6,276.2,16,21,NaN,29,30,18,24,29,NaN,NaN,NaN,NaN,11,26,NaN,29,25,44,NaN,36,75,26,35,NaN,33,23,12,41,17,26,21,44,25,18,NaN,NaN,26,25,36,18,30,NaN,NaN
28/09/2012,7.5,26.5,1.2,26.6,20.9,28.6,267.5,16,15,NaN,23,18,11,28,25,NaN,NaN,NaN,NaN,6,15,NaN,40,23,42,NaN,28,49,17,38,NaN,26,16,10,39,12,27,17,25,23,13,NaN,NaN,32,19,29,10,22,NaN,NaN
29/09/2012,10.6,20.5,-10.9,23.2,-21,25.5,297.9,17,11,NaN,14,17,7,30,27,NaN,NaN,NaN,NaN,12,14,NaN,28,20,34,NaN,29,72,21,36,NaN,21,14,7,34,9,26,17,18,27,13,NaN,NaN,29,25,24,5,12,NaN,NaN
30/09/2012,6.4,27.2,9.8,28.9,8.4,29.2,250.1,16,8,NaN,15,13,12,14,17,NaN,NaN,NaN,NaN,11,6,NaN,28,10,26,NaN,16,36,9,24,NaN,22,9,7,20,6,28,19,16,13,10,NaN,NaN,22,16,11,5,22,NaN,NaN
