Date,PM-1000,W,S,F,Z,G,Dir,LWT,Birmingham A4540 Roadside,Birmingham Tyburn Roadside,Bury Roadside,Camden Kerbside,Carlisle Roadside,Chatham Roadside,Chepstow A48,Chesterfield Roadside,Glasgow High Street,Glasgow Kerbside,Haringey Roadside,Leamington Spa Rugby Road,Leeds Headingley Kerbside,London Marylebone Road,Sandy Roadside,Stanford-le-Hope Roadside,Stockton-on-Tees A1305 Roadside,Stockton-on-Tees Eaglescliffe,Storrington Roadside,Swansea Roadside,York Fishergate
16/06/2014,25.9,-2,-5.2,5.6,-34,17.9,21.6,0,No data,45,No data,70,23,11,28,11,No data,64,No data,18,46,48,15,16,No data,15,24,36,19
17/06/2014,25.5,-1.7,-6.1,6.4,-36.6,19.4,15.1,0,No data,41,No data,65,25,9,26,12,No data,52,No data,14,42,48,9,15,No data,16,23,33,15
18/06/2014,23.2,1.9,-6.7,7,-34.3,18.5,343.9,0,No data,47,No data,75,21,14,33,15,No data,35,No data,18,46,47,11,18,No data,21,26,30,16
19/06/2014,21.7,0.1,-9.7,9.7,-30.6,18.1,359.1,0,No data,36,No data,69,25,21,23,18,No data,53,No data,15,51,67,18,26,No data,14,25,15,18
20/06/2014,19.3,3.6,-6.3,7.2,-27.7,15.6,330.1,0,No data,50,No data,80,21,18,34,14,No data,37,No data,15,42,79,37,19,No data,12,22,27,17
21/06/2014,18.5,2.8,-7.8,8.3,-18.9,12.6,340.3,0,No data,30,No data,58,14,21,21,12,No data,29,No data,12,41,80,23,23,No data,19,15,16,19
22/06/2014,19.9,1.8,-2,2.7,-23.6,12.1,318,0,No data,29,No data,65,13,13,25,13,No data,26,No data,14,35,89,16,No data,No data,13,15,15,15
23/06/2014,21.9,2.1,-5.7,6.1,-13.7,9.2,339.9,0,No data,47,No data,98,18,25,33,15,No data,28,No data,22,41,110,36,24,No data,21,19,27,19
24/06/2014,19.9,-1,-2.5,2.7,-14.9,7.9,21.6,0,No data,40,No data,81,24,17,28,14,No data,64,No data,15,43,68,24,19,No data,17,31,15,17
25/06/2014,17.6,-3.1,3.9,5,-6,5.8,140.9,3,No data,45,No data,80,22,13,28,20,No data,74,No data,16,48,74,17,13,No data,17,22,25,17
26/06/2014,16.3,-6.1,5.6,8.3,6.7,8.9,132.4,13,No data,37,No data,97,21,15,36,26,No data,87,No data,15,56,113,No data,20,No data,11,30,41,18
27/06/2014,16.4,-6,0.6,6.1,16.7,10.3,95.3,20,No data,57,No data,57,34,22,34,26,No data,95,No data,18,66,114,No data,8,No data,28,10,25,23
28/06/2014,14.8,-6.7,-6.7,9.4,7.3,10.1,45,11,No data,35,No data,57,24,21,26,16,No data,100,No data,17,46,79,No data,14,No data,17,16,27,27
29/06/2014,14.4,-1.1,-7.4,7.5,-11.1,9.3,8,8,No data,26,No data,66,18,12,22,8,No data,61,No data,11,34,47,No data,13,No data,12,19,14,17
30/06/2014,15.5,-3.1,1.9,3.6,-11.3,6.7,121.7,0,No data,48,No data,93,26,24,36,23,No data,67,No data,20,53,102,No data,22,No data,14,20,42,23
01/07/2014,16.2,-0.9,1.8,2,-35.6,17.9,153.8,0,No data,No data,No data,90,32,17,29,25,No data,67,No data,20,53,102,No data,19,No data,21,23,41,19
02/07/2014,13.5,17.2,9.7,19.8,-15.4,21.2,240.6,15,No data,No data,No data,87,19,20,45,20,No data,57,No data,18,42,115,No data,19,No data,6,17,33,30
03/07/2014,10.8,16.4,10,19.3,-10.1,19.9,238.6,15,No data,28,No data,62,14,24,32,10,No data,42,No data,11,23,144,37,16,No data,2,14,11,18
04/07/2014,3,12.2,7.7,14.4,26.9,19.7,237.6,25,No data,17,No data,52,11,No data,23,11,No data,35,No data,7,19,120,21,10,No data,5,12,12,16
05/07/2014,3.1,10.6,0.2,10.6,34.6,20.3,269.1,20,No data,33,No data,39,17,No data,33,9,No data,44,No data,8,21,88,18,11,No data,5,6,13,15
06/07/2014,7.4,6.5,2.5,7,25.5,14.5,249.3,20,No data,30,No data,38,No data,No data,27,10,No data,36,No data,8,23,87,24,15,No data,15,8,12,16
07/07/2014,13.8,7.8,6.2,9.9,8.1,10.8,231.6,15,No data,40,No data,59,No data,No data,32,15,No data,46,No data,15,34,91,27,15,No data,9,15,24,24
08/07/2014,19.2,0.1,-7.2,7.2,-0.9,7.2,359.2,18,No data,63,No data,79,No data,No data,21,13,No data,73,No data,21,43,76,28,33,No data,20,26,15,26
09/07/2014,20.3,2.8,-13.5,13.8,-11.4,14.9,348.3,18,No data,30,No data,81,No data,11,21,7,No data,35,No data,13,39,52,19,14,No data,16,28,6,19
10/07/2014,19.1,1.2,-8.4,8.5,-9.4,9.7,351.5,8,No data,40,No data,84,No data,17,24,14,No data,58,No data,15,40,57,22,17,No data,13,29,13,22
11/07/2014,17.1,5.7,1,5.8,-4,6.1,259.6,-1,No data,58,No data,92,No data,24,35,20,No data,46,No data,34,50,61,26,20,No data,34,42,19,24
12/07/2014,13,5.5,8.5,10.1,14.3,12.4,212.7,25,No data,35,No data,60,23,23,27,15,No data,58,No data,21,31,82,26,15,No data,11,20,15,29
13/07/2014,9.4,6.4,-6.6,9.2,4.7,9.5,315.9,17,No data,16,No data,38,11,13,18,4,No data,26,No data,6,14,60,19,8,No data,10,16,9,14
14/07/2014,10,11.3,11.3,16,16.7,18,225,25,No data,30,No data,41,15,27,33,11,No data,49,No data,10,17,88,No data,17,No data,5,15,18,15
15/07/2014,13.6,9.3,-0.7,9.4,-20,13.7,274,0,No data,50,No data,46,28,22,35,14,No data,37,No data,16,29,92,24,19,No data,6,13,21,17
16/07/2014,16.2,8.8,7.2,11.4,-0.2,11.4,230.6,15,No data,41,No data,59,17,30,31,13,No data,39,No data,16,30,121,29,27,No data,8,19,22,No data
17/07/2014,16.8,0.6,3.3,3.4,-22.9,12,189.3,0,No data,41,No data,77,29,14,28,24,No data,48,No data,15,No data,105,16,21,No data,10,22,30,No data
