Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Birmingham Acocks Green,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Coventry Allesley,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,Leicester University,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Sunderland Silksworth,Wigan Centre,Wirral Tranmere,York Bootham
02/04/2010,4.9,-2.3,10,10.2,46.1,25.2,166.7,20,33,NaN,51,NaN,NaN,22,26,NaN,NaN,NaN,NaN,NaN,24,NaN,19,20,43,NaN,13,39,6,17,54,31,8,4,50,9,26,11,26,11,NaN,31,NaN,22,NaN,29,7,24,20,NaN
03/04/2010,8.3,-2.5,-3.3,4.1,46.4,23.6,38,20,18,NaN,34,NaN,NaN,22,23,NaN,NaN,NaN,NaN,NaN,25,NaN,28,22,41,NaN,16,46,10,23,48,42,12,7,39,16,44,13,24,16,NaN,30,NaN,39,NaN,33,24,19,16,NaN
04/04/2010,10,10.1,-1.2,10.2,-6.8,10.7,276.9,16,19,NaN,11,NaN,NaN,15,15,NaN,NaN,NaN,NaN,NaN,25,NaN,18,20,29,NaN,20,59,15,17,28,23,9,9,26,5,16,13,12,13,NaN,22,NaN,16,NaN,15,10,10,9,NaN
05/04/2010,8,21.8,31.6,38.4,12.6,38.9,214.5,15,25,NaN,16,NaN,NaN,15,19,NaN,NaN,NaN,NaN,NaN,8,NaN,18,15,27,NaN,17,35,8,18,NaN,17,7,4,24,5,24,29,10,13,NaN,11,NaN,16,NaN,17,3,13,8,NaN
06/04/2010,8.7,12.1,16.1,20.1,22,22.9,216.9,25,28,NaN,19,NaN,NaN,29,29,NaN,NaN,NaN,NaN,NaN,15,NaN,22,21,45,NaN,37,54,14,30,NaN,31,10,7,48,21,42,22,21,21,NaN,24,NaN,NaN,NaN,25,10,19,13,NaN
07/04/2010,17.5,9.6,-2.1,9.9,-7.3,10.5,282.5,16,38,NaN,30,NaN,NaN,26,30,NaN,NaN,NaN,NaN,NaN,33,NaN,26,30,33,NaN,58,87,42,53,44,32,28,17,NaN,35,31,31,30,38,NaN,53,NaN,NaN,NaN,44,17,21,17,NaN
08/04/2010,23,12.4,-2.9,12.7,-30.3,19.8,283,0,28,NaN,34,NaN,NaN,44,35,NaN,NaN,NaN,NaN,NaN,24,NaN,24,47,35,NaN,48,76,37,48,50,27,61,9,NaN,31,57,19,39,35,NaN,67,NaN,NaN,NaN,54,7,29,20,NaN
09/04/2010,25,3.9,9.4,10.2,-41.4,23.1,202.9,0,42,NaN,46,NaN,NaN,56,48,NaN,NaN,NaN,NaN,NaN,34,NaN,41,37,44,NaN,73,NaN,54,68,57,36,53,15,NaN,35,85,42,45,44,NaN,67,NaN,NaN,NaN,50,25,41,41,NaN
10/04/2010,25.9,0.6,9.4,9.4,-41.7,22.9,183.4,0,37,NaN,45,NaN,NaN,47,41,NaN,NaN,NaN,NaN,NaN,52,NaN,33,19,38,NaN,39,69,30,49,58,40,31,12,50,26,75,34,35,32,NaN,68,NaN,NaN,NaN,35,26,37,52,NaN
11/04/2010,27.2,-3.4,2.8,4.5,-34.1,17.6,129.3,0,18,NaN,72,NaN,NaN,15,16,NaN,NaN,NaN,NaN,NaN,45,NaN,6,11,15,NaN,12,36,5,15,31,17,13,3,20,10,42,13,18,11,NaN,31,NaN,NaN,NaN,13,7,23,27,NaN
