Date,PM-1000,W,S,F,Z,G,Dir,LWT,Aberdeen,Auchencorth Moss,Belfast Centre,Blackpool Marton,Bristol St Paul's,Cardiff Centre,Chesterfield Loundsley Green,Chilbolton Observatory,Derry Rosemount,Eastbourne,Edinburgh St Leonards,Glasgow Townhead,Hull Freetown,Leamington Spa,Leeds Centre,London Bexley,London Bloomsbury,London Eltham,London N. Kensington,Manchester Piccadilly,Newcastle Centre,Newport,Norwich Lakenfields,Nottingham Centre,Oxford St Ebbes,Plymouth Centre,Portsmouth,Preston,Reading New Town,Rochester Stoke,Salford Eccles,Sheffield Devonshire Green,Southampton Centre,Southend-on-Sea,Stoke-on-Trent Centre,Wigan Centre,Wirral Tranmere,York Bootham
25/01/2011,18.2,10.3,-16.7,19.6,0.1,19.6,328.3,17,9,6,15,No data,23,22,No data,No data,No data,15,13,No data,16,17,13,No data,20,No data,No data,No data,13,9,18,16,11,12,No data,No data,13,No data,19,No data,15,No data,No data,No data,No data,11
26/01/2011,17.7,-12.3,-10.2,16,2.9,16,50.4,11,12,No data,20,No data,19,17,No data,No data,No data,13,15,No data,12,19,14,No data,22,No data,14,No data,18,13,11,18,15,13,No data,No data,12,No data,14,No data,14,No data,No data,No data,No data,11
27/01/2011,19.7,-5.7,1.3,5.8,-34.8,18.3,102.9,0,13,No data,22,No data,14,15,No data,No data,No data,13,12,No data,14,15,16,No data,19,No data,12,No data,16,9,9,16,13,13,No data,No data,12,No data,15,No data,13,No data,No data,No data,No data,13
28/01/2011,19.3,1,2.4,2.6,-33.8,17.1,203.7,0,11,No data,26,No data,18,21,No data,No data,No data,21,16,No data,23,18,21,No data,24,No data,16,No data,23,13,13,21,16,18,No data,No data,14,No data,23,No data,17,No data,No data,No data,No data,21
29/01/2011,20.1,-2.2,-2.7,3.5,-33.5,17.1,39.2,0,18,10,33,No data,25,24,No data,No data,No data,30,22,No data,26,24,27,No data,37,No data,29,No data,32,17,22,24,21,28,No data,No data,28,No data,24,No data,30,No data,No data,No data,No data,28
30/01/2011,15.7,12.8,3.8,13.4,-31.8,20.8,253.4,0,10,11,28,No data,22,20,No data,No data,No data,19,23,No data,27,20,36,No data,22,No data,17,No data,29,16,17,31,15,23,No data,No data,16,No data,40,No data,20,No data,No data,No data,No data,37
31/01/2011,12.7,22.2,12.7,25.6,-28.2,29.2,240.2,5,8,4,25,No data,42,34,No data,No data,No data,25,9,No data,49,49,40,No data,36,No data,33,No data,22,30,29,52,35,33,No data,No data,34,No data,52,No data,41,No data,No data,No data,No data,42
01/02/2011,12.7,25.8,0.5,25.9,-30,29.9,268.9,6,10,5,22,No data,27,31,No data,No data,No data,20,13,No data,30,27,25,No data,No data,No data,29,No data,No data,22,31,No data,20,30,No data,No data,26,No data,24,No data,29,No data,No data,No data,No data,26
02/02/2011,8.7,31.9,11.2,33.8,5.9,34,250.7,16,7,No data,13,No data,21,22,No data,No data,No data,21,8,No data,18,19,17,No data,No data,No data,19,No data,No data,14,18,No data,15,22,No data,No data,18,13,13,No data,23,No data,No data,No data,No data,No data
03/02/2011,5.7,33.6,24.6,41.7,-15.8,42.4,233.9,15,8,7,15,No data,23,27,No data,No data,No data,24,13,No data,17,19,15,No data,26,No data,20,No data,No data,17,16,No data,17,23,No data,No data,19,14,14,No data,22,No data,No data,No data,No data,11
